substring,family,log10_span_cost,action,note,params
.a.b.c.d.e.f,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""a"",""length"":6}"
.b.c.d.e.f.g,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""b"",""length"":6}"
.c.d.e.f.g.h,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""c"",""length"":6}"
.d.e.f.g.h.i,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""d"",""length"":6}"
.e.f.g.h.i.j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""e"",""length"":6}"
.f.g.h.i.j.k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""f"",""length"":6}"
.g.h.i.j.k.l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""g"",""length"":6}"
.h.i.j.k.l.m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""h"",""length"":6}"
.i.j.k.l.m.n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""i"",""length"":6}"
.j.k.l.m.n.o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""j"",""length"":6}"
.k.l.m.n.o.p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""k"",""length"":6}"
.l.m.n.o.p.q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""l"",""length"":6}"
.m.n.o.p.q.r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""m"",""length"":6}"
.n.o.p.q.r.s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""n"",""length"":6}"
.o.p.q.r.s.t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""o"",""length"":6}"
.p.q.r.s.t.u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""p"",""length"":6}"
.q.r.s.t.u.v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""q"",""length"":6}"
.r.s.t.u.v.w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""r"",""length"":6}"
.s.t.u.v.w.x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""s"",""length"":6}"
.t.u.v.w.x.y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""t"",""length"":6}"
.u.v.w.x.y.z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""u"",""length"":6}"
0a0b0c0d0e0f,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""a"",""length"":6}"
0b0c0d0e0f0g,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""b"",""length"":6}"
0c0d0e0f0g0h,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""c"",""length"":6}"
0d0e0f0g0h0i,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""d"",""length"":6}"
0e0f0g0h0i0j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""e"",""length"":6}"
0f0g0h0i0j0k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""f"",""length"":6}"
0g0h0i0j0k0l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""g"",""length"":6}"
0h0i0j0k0l0m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""h"",""length"":6}"
0i0j0k0l0m0n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""i"",""length"":6}"
0j0k0l0m0n0o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""j"",""length"":6}"
0k0l0m0n0o0p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""k"",""length"":6}"
0l0m0n0o0p0q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""l"",""length"":6}"
0m0n0o0p0q0r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""m"",""length"":6}"
0n0o0p0q0r0s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""n"",""length"":6}"
0o0p0q0r0s0t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""o"",""length"":6}"
0p0q0r0s0t0u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""p"",""length"":6}"
0q0r0s0t0u0v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""q"",""length"":6}"
0r0s0t0u0v0w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""r"",""length"":6}"
0s0t0u0v0w0x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""s"",""length"":6}"
0t0u0v0w0x0y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""t"",""length"":6}"
0u0v0w0x0y0z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""u"",""length"":6}"
1a1b1c1d1e1f,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""a"",""length"":6}"
1b1c1d1e1f1g,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""b"",""length"":6}"
1c1d1e1f1g1h,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""c"",""length"":6}"
1d1e1f1g1h1i,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""d"",""length"":6}"
1e1f1g1h1i1j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""e"",""length"":6}"
1f1g1h1i1j1k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""f"",""length"":6}"
1g1h1i1j1k1l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""g"",""length"":6}"
1h1i1j1k1l1m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""h"",""length"":6}"
1i1j1k1l1m1n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""i"",""length"":6}"
1j1k1l1m1n1o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""j"",""length"":6}"
1k1l1m1n1o1p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""k"",""length"":6}"
1l1m1n1o1p1q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""l"",""length"":6}"
1m1n1o1p1q1r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""m"",""length"":6}"
1n1o1p1q1r1s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""n"",""length"":6}"
1o1p1q1r1s1t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""o"",""length"":6}"
1p1q1r1s1t1u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""p"",""length"":6}"
1q1r1s1t1u1v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""q"",""length"":6}"
1r1s1t1u1v1w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""r"",""length"":6}"
1s1t1u1v1w1x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""s"",""length"":6}"
1t1u1v1w1x1y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""t"",""length"":6}"
1u1v1w1x1y1z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""u"",""length"":6}"
2a2b2c2d2e2f,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""a"",""length"":6}"
2b2c2d2e2f2g,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""b"",""length"":6}"
2c2d2e2f2g2h,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""c"",""length"":6}"
2d2e2f2g2h2i,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""d"",""length"":6}"
2e2f2g2h2i2j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""e"",""length"":6}"
2f2g2h2i2j2k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""f"",""length"":6}"
2g2h2i2j2k2l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""g"",""length"":6}"
2h2i2j2k2l2m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""h"",""length"":6}"
2i2j2k2l2m2n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""i"",""length"":6}"
2j2k2l2m2n2o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""j"",""length"":6}"
2k2l2m2n2o2p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""k"",""length"":6}"
2l2m2n2o2p2q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""l"",""length"":6}"
2m2n2o2p2q2r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""m"",""length"":6}"
2n2o2p2q2r2s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""n"",""length"":6}"
2o2p2q2r2s2t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""o"",""length"":6}"
2p2q2r2s2t2u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""p"",""length"":6}"
2q2r2s2t2u2v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""q"",""length"":6}"
2r2s2t2u2v2w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""r"",""length"":6}"
2s2t2u2v2w2x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""s"",""length"":6}"
2t2u2v2w2x2y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""t"",""length"":6}"
2u2v2w2x2y2z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""u"",""length"":6}"
3a3b3c3d3e3f,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""a"",""length"":6}"
3b3c3d3e3f3g,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""b"",""length"":6}"
3c3d3e3f3g3h,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""c"",""length"":6}"
3d3e3f3g3h3i,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""d"",""length"":6}"
3e3f3g3h3i3j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""e"",""length"":6}"
3f3g3h3i3j3k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""f"",""length"":6}"
3g3h3i3j3k3l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""g"",""length"":6}"
3h3i3j3k3l3m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""h"",""length"":6}"
3i3j3k3l3m3n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""i"",""length"":6}"
3j3k3l3m3n3o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""j"",""length"":6}"
3k3l3m3n3o3p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""k"",""length"":6}"
3l3m3n3o3p3q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""l"",""length"":6}"
3m3n3o3p3q3r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""m"",""length"":6}"
3n3o3p3q3r3s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""n"",""length"":6}"
3o3p3q3r3s3t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""o"",""length"":6}"
3p3q3r3s3t3u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""p"",""length"":6}"
3q3r3s3t3u3v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""q"",""length"":6}"
3r3s3t3u3v3w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""r"",""length"":6}"
3s3t3u3v3w3x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""s"",""length"":6}"
3t3u3v3w3x3y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""t"",""length"":6}"
3u3v3w3x3y3z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""u"",""length"":6}"
4a4b4c4d4e4f,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""a"",""length"":6}"
4b4c4d4e4f4g,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""b"",""length"":6}"
4c4d4e4f4g4h,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""c"",""length"":6}"
4d4e4f4g4h4i,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""d"",""length"":6}"
4e4f4g4h4i4j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""e"",""length"":6}"
4f4g4h4i4j4k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""f"",""length"":6}"
4g4h4i4j4k4l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""g"",""length"":6}"
4h4i4j4k4l4m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""h"",""length"":6}"
4i4j4k4l4m4n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""i"",""length"":6}"
4j4k4l4m4n4o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""j"",""length"":6}"
4k4l4m4n4o4p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""k"",""length"":6}"
4l4m4n4o4p4q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""l"",""length"":6}"
4m4n4o4p4q4r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""m"",""length"":6}"
4n4o4p4q4r4s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""n"",""length"":6}"
4o4p4q4r4s4t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""o"",""length"":6}"
4p4q4r4s4t4u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""p"",""length"":6}"
